FAMILIA;CULTIVOS;SUPERFICIE SEMBRADA (TAS);SUPERFICIE COSECHADAS (TAS);VOLUMEN OBTENIDO;UNIDAD DE MEDIDA;VALOR PRODUCCION RD$;TRIMESTRE;AÑO
FRUTALES;Cajuil;0;40;2;QUINTAL;3200;abril-junio;2019
FRUTALES;Cereza;20;5285;17001;QUINTAL;35949712;abril-junio;2019
FRUTALES;Fresa;0;2;7;QUINTAL;119000;abril-junio;2019
FRUTALES;Granadillo;0;58;3173;QUINTAL;118160;abril-junio;2019
FRUTALES;Guayaba;0;485;342;QUINTAL;553200;abril-junio;2019
FRUTALES;Melón;390;245;78;QUINTAL;1836000;abril-junio;2019
FRUTALES;Níspero;32;10;600;QUINTAL;1080000;abril-junio;2019
FRUTALES;Pitahaya;5;50;74;QUINTAL;221978;abril-junio;2019
FRUTALES;Tindora;70;368;1579;QUINTAL;2048500;abril-junio;2019
FRUTALES;Uva;0;146;171;QUINTAL;541500;abril-junio;2019
FRUTALES;Jengibre;382;311;2686;QUINTAL;3232800;abril-junio;2019
FRUTALES;Orégano;660;899;1674;QUINTAL;9969480;abril-junio;2019
FRUTALES;Pimienta;15;398;2340;QUINTAL;16415000;abril-junio;2019
FRUTALES;Muzú;4;50;238;QUINTAL;192000;abril-junio;2019
MUSACEAS;Guineo Convencional;1381;25898;1430191;RACIMO;232488670;abril-junio;2019
MUSACEAS;Guineo Organico;50;8964;818345;RACIMO;149774955;abril-junio;2019
MUSACEAS;Rulo;29;87;909;RACIMO;104370;abril-junio;2019
AGROINDUSTRIALES;Caña Azúcar;500;3670;10012;TONELADA;15158500;abril-junio;2019
FORESTALES;Caoba;0;50;300;TRONCO;300000;abril-junio;2019
FRUTALES;Caña Negra;90;382;131305;UNIDAD;2137495;abril-junio;2019
FRUTALES;Lechosa;498;3331;546286;UNIDAD;15080570;abril-junio;2019
FRUTALES;Sandía;435;572;50058;UNIDAD;2382570;abril-junio;2019
FORESTALES;Acacia;85;2463;29135;VARA;2553960;abril-junio;2019
FORESTALES;Eucalipto;0;120;3280;VARA;379000;abril-junio;2019
FORESTALES;Pino;320;37;2869;VARA;273864;abril-junio;2019
AGROINDUSTRIALES;Tabaco;101;7325;15246;N/A;101849300;abril-junio;2019
FRUTALES;Macadamia;45;0;0;N/A;0;abril-junio;2019
FRUTALES;OTROS;2591;6567;0;N/A;33529863;abril-junio;2019
LEGUMINOSAS;Anconi;20;0;0;N/A;0;enero-marzo;2019
CEREALES;Arroz Cáscara;50462;9065;51152;QQ;54906504;julio-septiembre;2019
CEREALES;Maíz;92;104;213;QQ;205950;julio-septiembre;2019
LEGUMINOSAS;Guandul;13546;14649;14217;QQ;17458050;julio-septiembre;2019
MUSACEAS;Guineo Convencional;0;42;788;RACIMO;83650;julio-septiembre;2019
MUSACEAS;Plátano;0;1478;1795;MILLAR;6611000;julio-septiembre;2019
RAICES Y TUBERCULOS;Batata;30;185;1432;QQ;1242650;julio-septiembre;2019
RAICES Y TUBERCULOS;Ñame Blanco;1666;382;3782;QQ;4229450;julio-septiembre;2019
RAICES Y TUBERCULOS;Yautía Amarilla;0;16;148;QQ;219600;julio-septiembre;2019
RAICES Y TUBERCULOS;Yautía Blanca;6;273;2535;QQ;4056000;julio-septiembre;2019
RAICES Y TUBERCULOS;Yuca;197;495;4309;QQ;4093550;julio-septiembre;2019
HORTALIZAS;Ají Gustoso;0;10;7;QQ;9100;julio-septiembre;2019
HORTALIZAS;Auyama;10;17;157;QQ;188400;julio-septiembre;2019
OLEAGINOSAS;Coco;0;8728;2773;MILLAR;30904400;julio-septiembre;2019
OLEAGINOSAS;Maní;0;58;157;QQ;196500;julio-septiembre;2019
FRUTALES;Chinola;130;262;477;MILLAR;1860300;julio-septiembre;2019
FRUTALES;Lechosa;80;7;2500;UNIDAD;75000;julio-septiembre;2019
FRUTALES;Piña;0;118;209;MILLAR;4068000;julio-septiembre;2019
OTROS;Jengibre;0;115;1220;QQ;1342000;julio-septiembre;2019
